,target,text,stance,stance_confidence,sarcasm,sarcasm_confidence,sentiment,sentiment
13,Digital Transformation,كفل النظام الاساسي حق التقاضي لكافة من يعيش على هذه الارض الطيبة. وعلى نهج التحول الالكتروني في السلطنة تم إطلاق منصة الكترونية خاصة بالمحاكم بغرض تسهيل اجراءات التقاضي. ولكن ننصدم بالصعوبات اليومية المتكررة في المنصة  فأصبح هذا النظام الالكتروني عائقا يحول دون هذا الحق الدستوري.,Against,0.8258,No,1.0,Negative,0.5509
17,Covid Vaccine, يامستشارين الصحه : اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيق,Against,0.7252,No,1.0,Negative,0.6281
18,Covid Vaccine,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه تنورون,Against,0.8527,No,1.0,Negative,0.5804
19,Covid Vaccine,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه,Against,1.0,No,1.0,Negative,0.5904
21,Digital Transformation,#افضل_الممارسات_في_التعلم_الالكتروني استراتيجيات التدريس في #التعليم_الالكتروني  الطريقة التي يمكن ان نقدم البرامج التعليمية للطلاب في أي وقت و أي مكان باستخدام تقنية المعلومات والاتصالات التفاعلية  #تقنيات_التعليم #التعلم_عن_بعد #حول_عالتقنية  #التحول_الرقمي URL,Favor,1.0,No,1.0,Neutral,0.5934
22,Digital Transformation,  و كذلك التحول الالكتروني و الاستعداد له   قلة المصروفات التي تقع على كاهل كل منا حيث التسوق اليومي   اكتشاف المواهب و الهوايات و غير ذلك,Favor,1.0,No,1.0,Positive,0.4684
24,Digital Transformation, التحول الالكتروني للمعاملات الحكومية يحتاج الى تجهيز كامل للعناصر اللوجستية .. هيئة بريد فعّالة  قرارات جريئة للتخلص من الاكشاك والطباعين  تفعيل العناوين المطابقة للسكن الفعلي على البطاقات المدنية  الخ. ولنا في مملكة البحرين خير مثل للتحول ا,Favor,0.622,No,1.0,Neutral,0.628
25,Covid Vaccine, نررررفض تطعيم بناتنا ياوزارة الصحه.. كفايه اجبرتونا على لقاح كورونا وصدقناكم,Against,1.0,No,1.0,Negative,1.0
26,Covid Vaccine,وأخيرًا خذت الجرعة التنشيطية .. الحمدلله 🙏🏼,Favor,1.0,No,1.0,Positive,1.0
28,Women empowerment,بتبرع كريم من شركة القدس للتأمين وكجزء من مسؤوليتهم المجتمعية تجاه السيدات ولدعم تمكين المرأة دربنا عدد من السيدات على أساسيات الخياطة في مشروع أرزاق. #JHCO #تمكين #تدريب URL,Favor,0.622,No,1.0,Positive,0.5096
29,Digital Transformation, التحول الالكتروني وفر وقت وجهد وكل شيء ❤️,Favor,1.0,No,1.0,Positive,1.0
30,Women empowerment,لايخدعونك   بكذبة تمكين المرأة!.,Against,1.0,No,1.0,Negative,1.0
31,Women empowerment,  اشباه الرجال حالهم ما يسر منضغطين من بعد تمكين المرأة,Favor,0.845,Yes,0.6154,Negative,0.8245
32,Women empowerment,  عرف من وين يمسكهم يشوف الجدل وين ويشتغل عليه شاف جدلهم على تمكين المرأه وحجابها وشد حيله باقي شوي ويلبس عباية راس وقفاز عشان ينال اعجابهم ورضاهم,Against,1.0,No,0.6766,Negative,0.84
33,Digital Transformation, 62 مليون كتاب !! اين التحول الالكتروني للمناهج ؟ كمية هدر سنوي للكتب مؤسفة نتمنى احلال الاجهزة اللوحية بدلاً من الكتب,Favor,0.8067,No,1.0,Negative,1.0
35,Women empowerment,  شبكات دْعارة في البلد بشكل مهول كانو ينتظرون قرار تمكين المرأة بفارغ الصبر,Against,1.0,No,1.0,Negative,1.0
36,Digital Transformation,أعلنت وزارة التجارة والصناعة وترويج الاستثمار عن إلزام 8 أنشطة تجارية بتوفير خدمة الدفع الإلكتروني للمستهلكين  سعيًا لتحقيق التحول الرقمي في السلطنة تماشيًا مع رؤية عمان 2040. URL,Favor,1.0,No,1.0,Neutral,0.6393
37,Digital Transformation,🇴🇲 تبدأ سلطنة #عُمان مطلع العام المقبل بإذن الله تطبيق قرار إلزامية الدفع الإلكتروني لجميع الأنشطة التجارية في خطوة مهمة نحو التحول الرقمي الشامل..  URL,Favor,1.0,No,1.0,Neutral,0.5336
38,Women empowerment,والله بنات انا مع تمكين المرأة واحاول ادعمكم بس انتو كمان ساعدونا ندعمكم  ليه لما اكون مع موظفة  الموضوع ياخذ مني اسبوعين ولما اكون مع موظف ياخذ مني نص ساعة؟؟؟,Favor,1.0,No,0.8412,Negative,0.4491
39,Women empowerment,"  لو اخوانك انفصلو من اعمالهم وحطو بدالهم حريم تحت بند ""تمكين المراه"" راح تفهمي تغريده الاخ تركي ..  كثير شباب اعرفهم طلقو زوجاتهم والسبب الفصل الجائر .. وعدم وجود وظائف يمكن ماتشوفين ذا الشي بعينك ولا يهمك  لكن بكره بتشوفي نتائجه ",Against,1.0,No,1.0,Negative,1.0
40,Covid Vaccine,ما هذا  الإصرار على إعطاء تطعيمات غير آمنه ليس هناك ضمان من خلالها ،!! توجه غريب من قبل بعض الجهات الحكومية والخاصة لفرض التطعيم !! كثير من الناس مطبقين الشروط الصحية ولا يحتاجون هالفرض! هناك دستور وقانون كفل لنا الإختيار !  #تطعيم_كورونا #الكويت #وزارة_الصحة,Against,1.0,No,1.0,Negative,1.0
41,Women empowerment,المسلسل التركي اللي بديت اشوفه بعد انقطاع طويل عن المسلسلات التركيه بس وربي اني انتظر الثلاثاء بفارغ الصبر عشانه .. احب تمكين المرأه اللي بالمسلسل واحب القصه وكل شي 😭😭😭😭 واحب باتوغا هففف جايب راسي URL,Favor,1.0,No,0.7997,Positive,0.7823
42,Covid Vaccine,"أبلغت الدنمارك عن أكثر من 5 آلاف إصابة جديدة بفايروس كورونا رغم تطعيم 87% من السكان ""بشكل كامل""",Against,0.7364,No,1.0,Neutral,0.5095
43,Digital Transformation,في ظل انتشار #كورونا حاليا الفرصة ذهبية للعمل بجدية على إلغاء المعاملات الورقية والمعاملات التي تتطلب وجود الأشخاص المطلوبين في أماكن معينة لاجراءها وذلك عن طريق التحول الالكتروني والتحول لبيئة يمكن فيها العمل عن بعد لأكبر عدد من الموظفين,Favor,0.8418,No,1.0,Positive,0.873
44,Women empowerment,يا قلبي على تمكين المرأة.. بكى والله 💔💔💔 URL,Favor,0.423,No,0.6672,Positive,0.3588
45,Women empowerment,لا حول ولا قوة الا بالله  كلنا ندري من اللي سمح لكل مجرم انه يتجرأ و يرتكب جريمة يقشعر لها البدن ! قال لك تمكين المراة قال !!! URL,Against,1.0,No,0.7329,Negative,0.8808
46,Women empowerment,ليش تمكين المرأة ما جاء الا مع الغلاء 😮‍💨,Against,1.0,No,0.8086,Negative,0.8086
48,Women empowerment,""" المرأة هي مصدر التطور لأي مجتمع، فمن غير تمكين المرأة من الصعب اصلاح المجتمع."" #يوم_المراه_العالمي 🤍",Favor,1.0,No,1.0,Positive,1.0
49,Women empowerment, تمكين المرأة ♥️ تصرف علي وانا نايم بالبيت,Against,0.7814,Yes,1.0,Neutral,0.4131
50,Women empowerment,تمكين المراة ما جاب لنا خير والله  لكم ان تتخيلوا ان لي ساعة ادور إحرام بالطايف بعد ما كان يباع في كل مكان,Against,1.0,No,1.0,Negative,1.0
51,Covid Vaccine,MENTION يقولك تنشيطية ثالثة كافية  وبعد سنة بتطلع أخبار عن الرابعة وتشوفهم يقولون أثبتت الدراسات أن الجرعة التنشيطية الرابعة تحمي أصحاب الأمراض المزمنة وذوي المناعة الضعيفة 😜 URL,Against,0.5303,Yes,0.5969,Negative,1.0
52,Digital Transformation,"""استثمر بسهولة"" زاد من توجه المستثمرين للخدمات الالكترونية  بما يسهل حركة السلع الصادرة والواردة من والى السلطنة..   التحول الالكتروني في أي مجال يسهم بلا شك في تطويره وسهولته .. لا بديل عن الحكومة الذكية والتركيز عليها بشكل كبير جداً لمعانقة الطموحات  #عمان_تحتاج_افكاركم URL",Favor,1.0,No,1.0,Neutral,1.0
53,Women empowerment,حاطة هاشتاق #تمكين_المرأة وهي تهين المرأة بنفس التغريدة,Against,0.7447,No,0.8271,Negative,0.8034
54,Digital Transformation, دكتور محمد لماذا لا يتم  تفعيل وسائل الدفع الالكتروني او التحول إلى اقتصاد غير نقدي حاليا يوجد اقتصاديين ظاهر وباطن فإذا لم يسمح بالتعامل بالنقد سوف يصبح الجميع يعملون في نطاق نظام واحد وباذن اذا تم تطبيق التعامل عن طريق الدفع الالكتروني  لجميع ,Favor,0.7288,No,1.0,Neutral,0.7228
56,Covid Vaccine,ولله الحمد  أخذنا لقاح فايزر تطعيم 💉 الله ينفع به البلاد والعباد يارب 🤲🏻🙏 شكراً للحكومة 🇸🇦💚 شكراً وزارة الصحة,Favor,1.0,No,1.0,Positive,1.0
57,Covid Vaccine, لن الهدف هو تطعيم اما كورونا ومتحورات وسيله ومبرر لتلقيحك بالغصب,Against,1.0,No,1.0,Negative,1.0
58,Digital Transformation,     اخوان /يجب التحول الى الدفع الالكتروني في الوزرات الحكومية.   اي عمليه دفع  حتى لو ١٠ دنانير  تروح مباشرة لخزينة الدوله.   هاي الخطوة فقط راح تقطع ٩٠٪ من الفساد و السرقة.   💥حتى لا يصير ارباك و خربطة  ابدأ في وزار,Favor,1.0,No,1.0,Positive,0.6678
59,Women empowerment,جاني القرف من شعارات تمكين المرأة و رزرزة سيدات الطبقة المخملية مثل ديكور يتجدد..اسطوانة منذ 2016,Against,1.0,No,0.8081,Negative,0.8312
60,Women empowerment,تمكين المرأة يجب أن لايكون على حساب الرجل,Against,0.7042,No,1.0,Negative,0.6474
61,Covid Vaccine,  تبون خلاصة الكلام مع الحريم   ( اجعلوا  تطعيم كورونا شرط لدخول المولات ) وسوف تشوفونهم يتسابقون على التطعيم,Favor,0.8223,Yes,0.854,Neutral,1.0
62,Digital Transformation, التحول الرقمي إذا تم كما يريدون فلن يكون هناك إستقلال للفرد ستعود العبودية بغلاف رقمي,Against,0.8015,No,1.0,Negative,1.0
64,Covid Vaccine, يقولون ابرتها حاارة وتعور اكثر من تطعيم كورونا بعد,Against,0.7314,No,0.8166,Negative,0.8166
65,Digital Transformation, اعانكم الله وسددكم   وعلى دروب الخير وفقكم الله في مهمتكم الجليله والساميه في ظل التحول الإلكتروني الذي احدث نقلةً نوعيةً متطوره تواكب تطلعات قيادتنا الرشيدة لما فيه خير المواطن والمقيم .,Favor,1.0,No,1.0,Positive,1.0
66,Covid Vaccine,كذبه لن يصدقها نفسه جيتس خبر عن إصابة  بيل جيتس بفيروس كورونا ❗❗❗❗⁉️⚠️ واضح أنها كذبه وزيل لموجه جديده في الطريق = جرعات تطعيم جديده سهله المعادله اهوو😁 URL,Against,0.4165,No,0.5091,Negative,0.6365
68,Digital Transformation, اعتقد لو تتكاتف البلدية مع الجهات المختصة الاخرى بتشجيع التسوق الالكتروني وتخفيض اسعارها هناك كان بيكون احد اهم ركائز التحول الايجابي لصالح الجميع ومنهاسوف نخفف التزاحم بالمراكز و نفرض الامن والسلامة من الجائحة و توفر اعمال جديدة للجميع و تخف,Favor,1.0,No,1.0,Neutral,0.4464
69,Women empowerment,  تمكين المرأه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Favor,1.0,No,1.0,Negative,0.4988
70,Women empowerment,(عصر تمكين المرأة) هو عصر النشوز والطلاق هو عصر الاهالي السذج الذين ركبوا الموجة  يخببون بناتهم على ازواجهم ويفسدون حياتهم. سنوات قليلة وتصبح المرأة السعودية كالغربية  بلا اسرة ولا زوج ولا حقوق وتربي الابناء وحدها (الام العزباء)  وسيبكون ندم على النعيم الذي كانوا فيه.  حلولكم 👇 ,Against,1.0,No,1.0,Negative,1.0
71,Women empowerment,تمكين المرأة في مختلف المجالات ساهم في تحسين بيئة العمل وتنظيم الفعاليات وجودة التعامل مع العملاء والمراجعين .,Favor,1.0,No,1.0,Positive,1.0
72,Women empowerment,الدولة ماضيه في تحقيق رؤيتها التي من أهم أهدافها تمكين المرأة  وفي الوقت ذاته تحتاج للتدرج ومراعاة الظروف العامة ..,Favor,1.0,No,1.0,Neutral,0.8025
74,Digital Transformation, هذا الكلام كان زمان.. أما الآن تغير كل شيء .. مع التحول الإلكتروني والحكومة الإلكترونية.. أصبح ملاحظ في جميع الجهات الحكومية السعي لخدمة المراجع واصبحت تسمى المراجع عميل.. وهذا تحول كبير وجيد للمصلحة العامة.  وقد خصص أقسام خدمة عملاء ..  وهذا بفض,Favor,1.0,No,1.0,Positive,0.8086
75,Digital Transformation,مصر كدولة و كحكومة وشعب ماشيين للتحول الرقمي بشكل رهيب 👏🇪🇬  على خطى السعودية في التحول الرقمي و اتمتت جميع خدمات الدولة و المعاملات الحكومية عبر تطبيقات و منصات إلكترونية مثل ابشر و توكلنا و ناجز و صحة ...الخ  يتبع👇 URL,Favor,1.0,No,1.0,Positive,0.7844
76,Covid Vaccine,رسميًا صرت ملكة حجوزات تطعيم كورونا اتوقع باقي القطوه الي بالشارع م حجزت لها ههه,Favor,0.6172,Yes,0.8121,Neutral,0.8144
77,Covid Vaccine,"الله يرحمه #دعيج_الخليفه_الصباح  موت""الفجأة""بزدياد وهناك من يقول أن له علاقة بتطعيمات #كورونا‼️  وعليه يا المسؤولين توقعوا هذا الاحتمال ولا تجبروا الناس على الجرعة الثالثة""المعزز""‼️  ولا تجبروا الناس على أي تطعيم آخر وتربطوها بالسفر والمول والسينما.. حتى تتم التجارب السريرية‼️",Against,0.8676,No,1.0,Neutral,0.5272
79,Digital Transformation, والله انا لانجهل ذلك لكن اليوم اصبح حكم القوى على الضعيف هوه المسيطر.عندما تذهب وتريد دفع كاش ويقال لك لااقبل الا الكتروني .وعندما الدوله تلزم المتاجر وغيرها بوجود الدفع الالكتروني فأن التحول سيكون اجباريا .,Against,0.7753,No,1.0,Negative,0.7572
80,Digital Transformation,#التحول_الإلكتروني_للخدمات_القضائية  نقطة تحول غي منظومة العمل القانوني ؛ ستوفر الكثير من الوقت على المتقاضين والمحامين عامة ؛ وتسرع من وتيرة العمل القضائي في جميع المحاكم العمانية ومحكمة القضاء الإداري .. URL,Favor,1.0,No,1.0,Positive,1.0
81,Digital Transformation, يشهد التحول الالكتروني في المرفق القضائي نقلة نوعية وتطورًا ملموسًا  سواء بالإجراءات وتبسيطها أو إصدار الأنظمة والقرارات واللوائح وتطويرها  أو بتفعيل التقنية وتوظيفها واستثمارها  توفيراً للجهود  وتسهيلاً على المتقاضين  وسرعةً للفصل في المنازعات ,Favor,1.0,No,1.0,Positive,1.0
82,Digital Transformation,صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل وتكامل مسار التقاضي الإلكتروني. URL,Favor,1.0,No,1.0,Neutral,0.8213
83,Digital Transformation, صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل ,Favor,0.721,No,1.0,Neutral,1.0
84,Covid Vaccine,تطعيم 💉 كوفيد ١٩.. تنظيم رائع شكرا لقيادتنا العظيمه.  شكرا وزارة الصحه  #تطعيم_كورونا ,Favor,1.0,No,1.0,Positive,1.0
85,Women empowerment,يحظر أي إعلان عن وظائف (للرجال فقط)  لكن لا بأس أن يكون هنالك وظائف  (للنساء فقط) !  وهذا كله يتم خلال وجوب النفقة على الرجل وتغريمه 50 ألف بحال تقصيره بالنفقة على المرأة !  مقلب (المساواة) و(تمكين المرأة) أكلوه رجال الغرب قبلنا والآن يوجهون لنا كتب ومؤلفات لكن لا حياة لمن تنادي!  ,Against,0.8523,Yes,0.5847,Negative,1.0
86,Women empowerment,"""تمكين المرأة السعودية"" ❌  ""سرقة الوظائف من الرجال السعوديين .....  وإعطائها للنساء السعوديات بنفس الوقت اللي الرجال السعوديين مكلفين بالنفقة والإعالة للنساء السعوديات"" ✅ ",Against,1.0,No,1.0,Negative,1.0
87,Women empowerment,الحريم مثل الطفل المتهوّر اللي يدخل اصبعه بفيش كهرباء ويطلع للطريق قدام السيارات  بس ما تقدر تمنعه من تهوره ومن إلحاق الضرر لنفسه وللإخرين لأن الحكومات بتمنعك من منعه وذلك بإسم (تمكين المرأة),Against,0.9106,Yes,0.7609,Negative,1.0
88,Digital Transformation, منصة ثروه بدعم من وزارة   وهي احدى استثمارات    وبادارة عمانية تحمل مستقبلا واعدا بالسلطنة  التحول الالكتروني بجميع القطاعات يسهل الكثير من العمل والجهد والوقت.  ولا ننسى ان هذه المنصه كذلك ساهمت بتوفير بعض الوظائف لل,Favor,1.0,No,1.0,Positive,0.8081
89,Covid Vaccine,"#لا_للتطعيم_الاجباري38  ترامب: ""توقفوا عن تطعيم الشباب"". كورونا COVID19 TRUMP URL",Against,1.0,No,1.0,Negative,0.7942
90,Covid Vaccine,#متضرري_اللقاح   طيار الخطوط الجوية التجارية يصور تورم الدماغ ولا يمكنه الطيران بعد لقاح فايزر‼️  #لا_للتطعيم_الاجباري  #لا_تقول_ما_دريت  #الجرعة_الثالثة  #الجرعة_التنشيطية  #الحرية_الطبية URL,Against,1.0,No,1.0,Negative,0.8748
91,Covid Vaccine, مايبيله تفكير ... اسبابه تطعيم كورونا بلا شك جعلت الناس لديها نفس اجرامي وبلا شعور .. والقادم اسوى,Against,1.0,No,1.0,Negative,1.0
92,Women empowerment,   وربي انك معلق على٢٠٠٠  تمكين المرأة هذا اعظم شيء حدث ونشوف يابو كفاءة اغلب الوظائف اللي للجنسين تكون فيها خبرتكم اقل لعل وعسى تنقبلون بينما التنافس للنساء اعلى فالله يعينك ع قلك وربي يرزقك وظيفة تسكتك لان والله الحسد مو زين,Favor,1.0,No,0.8682,Positive,0.6159
93,Digital Transformation, طريقة بدائية … اعتقد لا تتوافق مع النظام و مع التحول الالكتروني الحاصل. هذا هو الحل الامثل. 👇 URL,Favor,0.4146,No,1.0,Negative,0.7188
94,Digital Transformation, نعم الجائحة سرعت نحو التحول الإلكتروني وغيرت في سلوك المستهلكين لا شك. من الممكن الإعتماد على التجارة الإلكترونية لكن من غير الممكن استبعاد متاجر (الطوب) من المنظومة التجارية  لأسباب حيوية للغاية مثل النشاط العمراني والبطالة. الطوب والإلكتروني,Favor,0.5755,No,1.0,Neutral,0.7539
95,Digital Transformation, الحمد لله هذا بالفعل هو عصر السرعة ويجب على جميع الجهات الاسراع في التحول الإلكتروني وتحقيق أهداف رؤية عمان 2040 وكلنا شركاء لتحقيق هذه الأهداف.,Favor,1.0,No,1.0,Positive,0.9087
96,Women empowerment,  ذكرتني بواحد يسولف يثني على القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية  والمصيبة انه مايستوعب ان ماي,Against,0.7396,No,1.0,Negative,0.6096
97,Covid Vaccine, مع مرور الوقت تبين أن تطعيم كورونا فاشل فاشل جدا. اصنعوا تطعيما جديدا. أو علاجا فعالا. وكفاكم تسويقا وترويجاً لهذا التطعيم أبو جرعة رابعة وخامسة!!,Against,1.0,No,1.0,Negative,0.7852
98,Covid Vaccine,MENTION لن يقضي التطعيم على كورونا  لأنه تطعيم فاشل وضعيف,Against,1.0,No,1.0,Negative,1.0
99,Covid Vaccine, اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم   يجب ان نتعايش معه,Against,0.6786,No,1.0,Negative,0.8727
100,Covid Vaccine, قسم بالله تطعيم الافلونزا بالمستوصف ابرك من لقاح كورونا.كله كذب استنزاف اموال الدول وحلبها.,Against,1.0,No,0.5714,Negative,1.0
101,Covid Vaccine,   مااغيى من اللي يقول لقاح كورونا بدون تطعيم ويسجلها في توكلنا غير اللي يصدقه .. هذول نصابين ويسحبو جميع معلومات الشخص وامواله,Against,0.5751,No,0.805,Negative,1.0
102,Women empowerment, محد طلب رأيك والدولة مستمرة في حركة تعديل وتنقيح المناهج كما أن تمكين المرأة هي أحد أهم محاور رؤية 2030 وتوظفنا وشوتنا أشباه الرجال وصيحناهم يالله رح ابك والحس دموعك في الزاوية مع باقي المنبوذين.,Favor,1.0,Yes,0.7763,Positive,0.7763
103,Covid Vaccine,    تطعيم كورونا بدون حضور !!! وتنزل في توكلنا كمان ..,Against,0.611,No,0.8821,Neutral,0.7515
104,Digital Transformation,التحول الإلكتروني العظيم السائد في مجالات الدولة كافة ودبي خاصة   فمن يصل به التفكير أنه يأتي عليه وقت يعمل في منزله كما هو بمكتبه ولا حاجة لوجوده في المكتب ونسبة الإنجاز تكون مضاعفة إنه استشراف المستقبل إنه محمد بن راشد آل مكتوم العقلية الفذة .,Favor,1.0,No,1.0,Positive,1.0
106,Covid Vaccine,MENTION MENTION MENTION MENTION كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد يأخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Favor,0.7783,No,1.0,Neutral,0.6841
107,Covid Vaccine,MENTION و دام الطب قائم على الفائدة تفوق الخطر ليش ما توقفون تطعيم الأطفال و قد ثبت أن كورونا لا تؤذيهم بينما التطعيم احتمال أضعاف إن يؤذي صحتهم🤨,Against,1.0,No,1.0,Negative,1.0
108,Covid Vaccine,MENTION MENTION نفس فكره تطعيم الانفلونزا تاخذيه علشان تجيك الاعراض خفيفه وم تطيحك وتقوى مناعتك .. كدا لقاح كورونا يقوي مناعتك,Favor,0.5176,No,1.0,Positive,0.8857
109,Digital Transformation,"ربط وزراة الصحة مع شركة ( التعاونية) عن طريق منصة ( نفيس ) وبجميع شركات التامين  تعزيزًا لإدارة عمليات التأمين الصحي.. في إطار التحول الرقمي ""التعاونية"" تستكمل الربط الإلكتروني",Favor,0.7393,No,1.0,Neutral,0.7185
111,Digital Transformation,التحول الالكتروني أصبح مطلب أساسي URL,Favor,1.0,No,1.0,Positive,0.5611
112,Women empowerment, لايوجد صياح ولكن يوجد دهشة في انتكاس الفطرة التي خلقنا الله عليها. من سيفتح البيوت وينفق عليها اذا كان الرجل عاطل بسبب تمكين المرأة للعمل ومن سيربي الأجيال ويرعاها اذا كانت المرأة مشغولة خارج منزلها. حديثي للمرأة التي تعمل دون الحاجة الملحة جداً ,Against,1.0,No,1.0,Negative,1.0
113,Women empowerment, اذا عرفتي الدور الحقيقي للرجل والمرأة في المجتمع ستدركين ان ماتطلبينه مخالف لذلك الدور.. رأينا تمكين المرأة في الغرب، وبعض دول الشرق، ماذا كانت النتائج !!. هل تمكينك للعمل في مجالات لا تناسبك سيجعلك تفتحين بيت وتتحملين معيشة اسرة من الألف الى الي,Against,1.0,No,1.0,Negative,0.7649
114,Women empowerment,  للحوار اداب وثقافة، احد مخرجات تمكين المرأة المزعوم هو تطاولها وخروجها عن المألوف في النقاشات والتي يستحي الرجل العاقل ان يقوم بها. تمكين المرأة للعمل في مجال تخصصها امر مقبول، اما مخالطة المرأة للرجل في مجال العمل فهذا منهي عنه شرعاً ول,Against,1.0,No,1.0,Negative,0.7518
